id,masterDataId,aboutText
1,ivashko-ev,Специалист высшей квалификационной категории.
2,ivashko-ev,Провожу уроки по Skype. Работаю с детьми от 3 лет и со взрослыми.
3,ivashko-ev,- исправление звукопроизношения;
4,ivashko-ev,- развитие лексической и грамматической стороны речи;
5,ivashko-ev,- развитие связной речи;
6,ivashko-ev,- развитие фонематического восприятия;
7,ivashko-ev,- развитие артикуляционной и мелкой моторики;
8,ivashko-ev,- развитие речевого дыхания;
9,ivashko-ev,- преодоление нарушений письменной речи (дисграфии и дислексии);
10,ivashko-ev,"- развитие внимания, памяти, мышления;"
11,ivashko-ev,- подготовка детей к школе.
12,ivashko-ev,"Наши занятия проходят весело и увлекательно. Дети учатся правильно произносить звуки, строить предложения, сочинять и рассказывать занимательные истории. Это позволяет им чувствовать себя уверенно в общении со сверстниками и взрослыми."
13,zhuchenko-dg,"Учитель-дефектолог, педагог-психолог, учитель начальных классов (опыт работы в центре коррекционно-развивающего обучения и реабилитации 20 лет с детьми дошкольного возраста с дизартрией, с моторной алалией, с общим недоразвитием речи, со смешанным специфическим расстройством развития) окажет квалифицированную помощь вашему ребенку:"
14,zhuchenko-dg,- диагностика и консультация;
15,zhuchenko-dg,- исправление нарушений звукопроизношения;
16,zhuchenko-dg,"- работа с детьми с дизартрией, ОНР (общее недоразвитие речи);"
17,zhuchenko-dg,"- преодоление нарушений чтения и письма (дисграфия, дислексия) и др.;"
18,zhuchenko-dg,- подготовка к школе;
19,zhuchenko-dg,- развитие артикуляционной и мелкой моторики;
20,zhuchenko-dg,- развитие фонематического восприятия;
21,zhuchenko-dg,"- развитие внимания, памяти, мышления и др."
22,astrejko-na,"Квалифицированный учитель-дефектолог (логопед), опыт работы в диагностике речевых нарушений более 20 лет. Специализируюсь на постановке звуков, коррекции фонематического восприятия, развитию речи и подготовке к школе детей с различными речевыми нарушениями. 5 лет активно работаю по скайпу с детьми билингвами."
